Architecture,Image,Method,Z_Source,Loss_Type,Huber_Delta,TV_Weight,PSNR,SSIM,MS-SSIM,VIF,NMSE,HFEN
convdecoder,file1000031.h5,"ConvDecoder-A (k=10, guided init, 1000 iter)",uniform,huber,0.02327,5.865e-05,31.786949799176305,0.8367750267551912,0.9602645039558412,0.8992783056635439,0.0096219341106868,0.3466369571685629
convdecoder,file1000033.h5,"ConvDecoder-A (k=10, guided init, 1000 iter)",uniform,huber,0.02327,5.865e-05,35.80954511289272,0.8960413184396621,0.9766605496406556,0.8446742884108833,0.0028974469355069,0.2946482459771262
convdecoder,file1000073.h5,"ConvDecoder-A (k=10, guided init, 1000 iter)",uniform,huber,0.02327,5.865e-05,32.97517587771258,0.8876121196798009,0.9726721048355104,0.917874836943498,0.0079015380523952,0.2378444033957665
convdecoder,file1000107.h5,"ConvDecoder-A (k=10, guided init, 1000 iter)",uniform,huber,0.02327,5.865e-05,32.10030560693324,0.8475432595908319,0.958554208278656,0.857629984644461,0.0053028881605703,0.3579033295118682
convdecoder,file1000108.h5,"ConvDecoder-A (k=10, guided init, 1000 iter)",uniform,huber,0.02327,5.865e-05,40.27209342892887,0.9503713344420184,0.9900104403495787,0.9436036602101198,0.0019227664415171,0.2277991146896683
convdecoder,file1000153.h5,"ConvDecoder-A (k=10, guided init, 1000 iter)",uniform,huber,0.02327,5.865e-05,31.82786962682919,0.83993861554209,0.963340938091278,0.8889691846360614,0.0076908885413743,0.3118642182169867
convdecoder,file1000243.h5,"ConvDecoder-A (k=10, guided init, 1000 iter)",uniform,huber,0.02327,5.865e-05,32.24943111536985,0.8452165267773596,0.9656535387039183,0.8297862996797744,0.0058817254444521,0.2968250396442494
convdecoder,file1000264.h5,"ConvDecoder-A (k=10, guided init, 1000 iter)",uniform,huber,0.02327,5.865e-05,29.88132867653457,0.8316056871876023,0.9480695724487304,0.92563983300941,0.0144070326322163,0.6146252739541505
convdecoder,file1000277.h5,"ConvDecoder-A (k=10, guided init, 1000 iter)",uniform,huber,0.02327,5.865e-05,34.33940838952206,0.88373983620537,0.9626126289367676,0.7622383555766155,0.0060247543423512,0.4287831240955119
convdecoder,file1000308.h5,"ConvDecoder-A (k=10, guided init, 1000 iter)",uniform,huber,0.02327,5.865e-05,32.10303277739926,0.8479206927124872,0.9688305854797364,0.8585258611262694,0.0087846299406939,0.3182047050437134
convdecoder,file1000389.h5,"ConvDecoder-A (k=10, guided init, 1000 iter)",uniform,huber,0.02327,5.865e-05,33.542964263844915,0.8772111512683537,0.957987666130066,0.7734224221778031,0.0043085865108762,0.3009426315048718
convdecoder,file1000464.h5,"ConvDecoder-A (k=10, guided init, 1000 iter)",uniform,huber,0.02327,5.865e-05,34.50829032705995,0.8763342189390914,0.9624219536781312,0.7473009004290619,0.0036911304331558,0.3798920625446043
convdecoder,file1000477.h5,"ConvDecoder-A (k=10, guided init, 1000 iter)",uniform,huber,0.02327,5.865e-05,33.16080424822243,0.9087116139729029,0.974933922290802,0.8756907669838611,0.0048185970585135785,0.2683749577996263
convdecoder,file1000660.h5,"ConvDecoder-A (k=10, guided init, 1000 iter)",uniform,huber,0.02327,5.865e-05,28.455798761898876,0.8569615498823128,0.9614745378494263,0.9904534597804076,0.013840892875749085,0.2896734802571491
convdecoder,file1000697.h5,"ConvDecoder-A (k=10, guided init, 1000 iter)",uniform,huber,0.02327,5.865e-05,37.90088301425496,0.9238255375981256,0.9853070974349976,0.894794108393708,0.00246437088342542,0.2632691789466361
convdecoder,file1000759.h5,"ConvDecoder-A (k=10, guided init, 1000 iter)",uniform,huber,0.02327,5.865e-05,31.644547213360262,0.8772450328514426,0.9684922099113464,0.863674607796922,0.005895159583150721,0.2683518078669793
convdecoder,file1000831.h5,"ConvDecoder-A (k=10, guided init, 1000 iter)",uniform,huber,0.02327,5.865e-05,34.073401699046975,0.8990006694481054,0.9655362367630005,0.7501842375880426,0.0064555950379713515,0.3389063595882035
convdecoder,file1000842.h5,"ConvDecoder-A (k=10, guided init, 1000 iter)",uniform,huber,0.02327,5.865e-05,35.822988071659495,0.8892785828341866,0.9799785017967224,0.8884487925676288,0.00551864811394934,0.2950266169932629
convdecoder,file1001064.h5,"ConvDecoder-A (k=10, guided init, 1000 iter)",uniform,huber,0.02327,5.865e-05,34.59914546955312,0.8817154894510502,0.9765029549598694,0.8787124410387861,0.004263054150429252,0.2251793440683236
convdecoder,file1001339.h5,"ConvDecoder-A (k=10, guided init, 1000 iter)",uniform,huber,0.02327,5.865e-05,34.585881632647514,0.9103646902204009,0.983685314655304,0.8964523545212797,0.003923126097540638,0.2115146610012991
