Architecture,Image,Method,Z_Source,Loss_Type,Huber_Delta,TV_Weight,PSNR,SSIM,MS-SSIM,VIF,NMSE,HFEN
convdecoder_dcse,file1000031.h5,"ConvDecoder-A (k=10, guided init, 1000 iter)",uniform,huber,0.02327,5.865e-05,33.067808816989334,0.8507184993473054,0.9662337899208069,0.860546285425734,0.0071643447629986205,0.33196085948120313
convdecoder_dcse,file1000033.h5,"ConvDecoder-A (k=10, guided init, 1000 iter)",uniform,huber,0.02327,5.865e-05,31.625175001300786,0.8538689899562921,0.9505746960639954,0.6796096886468833,0.007593683675615294,0.5948241082375731
convdecoder_dcse,file1000073.h5,"ConvDecoder-A (k=10, guided init, 1000 iter)",uniform,huber,0.02327,5.865e-05,32.15241686225425,0.8901348307235805,0.975451648235321,0.9426808589705571,0.009549651819262168,0.25736301323252436
convdecoder_dcse,file1000107.h5,"ConvDecoder-A (k=10, guided init, 1000 iter)",uniform,huber,0.02327,5.865e-05,33.46580928164899,0.8767925772344005,0.9748271107673645,0.9274067699520436,0.0038722385151652395,0.2682914503146168
convdecoder_dcse,file1000108.h5,"ConvDecoder-A (k=10, guided init, 1000 iter)",uniform,huber,0.02327,5.865e-05,39.27090925087195,0.9419882903381307,0.9846466779708862,0.8928680351789187,0.0024212796474084486,0.30769615972228925
convdecoder_dcse,file1000153.h5,"ConvDecoder-A (k=10, guided init, 1000 iter)",uniform,huber,0.02327,5.865e-05,31.192385526617443,0.8258871314741101,0.9558267593383789,0.8576061258497617,0.00890276536356199,0.37049059087797087
convdecoder_dcse,file1000243.h5,"ConvDecoder-A (k=10, guided init, 1000 iter)",uniform,huber,0.02327,5.865e-05,31.11451636677124,0.8374162710017752,0.9542701840400696,0.8051896498740784,0.007638291404344176,0.3504429187420735
convdecoder_dcse,file1000264.h5,"ConvDecoder-A (k=10, guided init, 1000 iter)",uniform,huber,0.02327,5.865e-05,32.04820030778048,0.8501820710821105,0.957351803779602,0.8499035986790249,0.008747568997825483,0.592288324611737
convdecoder_dcse,file1000277.h5,"ConvDecoder-A (k=10, guided init, 1000 iter)",uniform,huber,0.02327,5.865e-05,36.585412749094054,0.913028138862026,0.9790855646133423,0.8647081815548671,0.0035920213341610703,0.3203848900417515
convdecoder_dcse,file1000308.h5,"ConvDecoder-A (k=10, guided init, 1000 iter)",uniform,huber,0.02327,5.865e-05,33.040701072429336,0.8588665695646968,0.9668013453483582,0.8203398672312805,0.0070787510935173435,0.28422145871807547
convdecoder_dcse,file1000389.h5,"ConvDecoder-A (k=10, guided init, 1000 iter)",uniform,huber,0.02327,5.865e-05,33.68977790814859,0.8809038872357893,0.9646697640419006,0.7990626505360287,0.004165368735909124,0.30089601293676277
convdecoder_dcse,file1000464.h5,"ConvDecoder-A (k=10, guided init, 1000 iter)",uniform,huber,0.02327,5.865e-05,35.03953154958876,0.8947758669943122,0.9733514785766602,0.8260383640588688,0.00326614356037875,0.3639107330157519
convdecoder_dcse,file1000477.h5,"ConvDecoder-A (k=10, guided init, 1000 iter)",uniform,huber,0.02327,5.865e-05,32.843284694839014,0.9105778428543163,0.9775577187538147,0.8958748254093188,0.005184090404468134,0.2701470521205405
convdecoder_dcse,file1000660.h5,"ConvDecoder-A (k=10, guided init, 1000 iter)",uniform,huber,0.02327,5.865e-05,29.525343799189145,0.8385443963376933,0.9497247934341431,0.8588154014311415,0.01081956009932539,0.3908217045678903
convdecoder_dcse,file1000697.h5,"ConvDecoder-A (k=10, guided init, 1000 iter)",uniform,huber,0.02327,5.865e-05,38.39762370492553,0.9315792760504016,0.9862388372421265,0.9143384292381045,0.002198021822492513,0.243811383699716
convdecoder_dcse,file1000759.h5,"ConvDecoder-A (k=10, guided init, 1000 iter)",uniform,huber,0.02327,5.865e-05,33.055822617633176,0.8815902321057509,0.9685651659965515,0.8328761295033563,0.004259592224525388,0.2605689886542557
convdecoder_dcse,file1000831.h5,"ConvDecoder-A (k=10, guided init, 1000 iter)",uniform,huber,0.02327,5.865e-05,36.56409573417378,0.9227803741556748,0.9825535416603088,0.8752242858716002,0.0036380350224475668,0.28882888956497127
convdecoder_dcse,file1000842.h5,"ConvDecoder-A (k=10, guided init, 1000 iter)",uniform,huber,0.02327,5.865e-05,35.414433426305784,0.8914166986533747,0.9766736626625061,0.8839451286077109,0.00606300836644907,0.298085068688329
convdecoder_dcse,file1001064.h5,"ConvDecoder-A (k=10, guided init, 1000 iter)",uniform,huber,0.02327,5.865e-05,34.15136421529159,0.8873292168709098,0.9751052260398865,0.8533997490590172,0.004726057210746275,0.2948240984834714
convdecoder_dcse,file1001339.h5,"ConvDecoder-A (k=10, guided init, 1000 iter)",uniform,huber,0.02327,5.865e-05,29.57980895454014,0.8917322001924111,0.9719249606132507,1.007858849230861,0.012423373303408812,0.3268415862189209
