Architecture,Image,Method,Z_Source,Loss_Type,Huber_Delta,TV_Weight,PSNR,SSIM,MS-SSIM,VIF,NMSE,HFEN
convdecoder_dcse,file1000031.h5,"ConvDecoder-A (k=3, guided (different_images), 1500 iter, weighted, complex-domain)",uniform,huber,0.1192,1.177e-05,32.61871261460045,0.8240269791338648,0.9617235660552979,0.8530767246766344,0.007944857225800211,0.3600468649093636
convdecoder_dcse,file1000033.h5,"ConvDecoder-A (k=3, guided (different_images), 1500 iter, weighted, complex-domain)",uniform,huber,0.1192,1.177e-05,36.058724788554606,0.8973296966617342,0.9789069890975952,0.8744913081341584,0.002735883015927029,0.3233432037687738
convdecoder_dcse,file1000071.h5,"ConvDecoder-A (k=3, guided (different_images), 1500 iter, weighted, complex-domain)",uniform,huber,0.1192,1.177e-05,32.144538752315334,0.8625559015289512,0.9651589393615723,0.8715738712603112,0.010029859973297686,0.38310183686533655
convdecoder_dcse,file1000073.h5,"ConvDecoder-A (k=3, guided (different_images), 1500 iter, weighted, complex-domain)",uniform,huber,0.1192,1.177e-05,35.05825215831854,0.8845720192414444,0.9739084243774414,0.8498721221335113,0.004891071458097663,0.26367277434948905
convdecoder_dcse,file1000107.h5,"ConvDecoder-A (k=3, guided (different_images), 1500 iter, weighted, complex-domain)",uniform,huber,0.1192,1.177e-05,33.0519405285438,0.8713618450289569,0.9748094081878662,0.9783961622514981,0.0042594053853864285,0.2887464863975816
convdecoder_dcse,file1000108.h5,"ConvDecoder-A (k=3, guided (different_images), 1500 iter, weighted, complex-domain)",uniform,huber,0.1192,1.177e-05,40.10814145387783,0.9488104590357994,0.9898427128791809,0.9555534374390926,0.0019967409797374976,0.24421957097200403
convdecoder_dcse,file1000243.h5,"ConvDecoder-A (k=3, guided (different_images), 1500 iter, weighted, complex-domain)",uniform,huber,0.1192,1.177e-05,31.221985420581703,0.8379615943678724,0.963118314743042,0.8151301335966916,0.0074515962848806065,0.28469444911548564
convdecoder_dcse,file1000264.h5,"ConvDecoder-A (k=3, guided (different_images), 1500 iter, weighted, complex-domain)",uniform,huber,0.1192,1.177e-05,33.16371420218533,0.8554527520605653,0.9614911675453186,0.8555183053040336,0.006766062221511761,0.5135240055061042
convdecoder_dcse,file1000277.h5,"ConvDecoder-A (k=3, guided (different_images), 1500 iter, weighted, complex-domain)",uniform,huber,0.1192,1.177e-05,36.63481277062152,0.9077526855005046,0.9799385070800781,0.8746720717187229,0.0035513943977343618,0.34926721276214157
convdecoder_dcse,file1000308.h5,"ConvDecoder-A (k=3, guided (different_images), 1500 iter, weighted, complex-domain)",uniform,huber,0.1192,1.177e-05,34.006643880407154,0.8614556604377157,0.9732238054275513,0.9049458623434674,0.005667119374933764,0.2578352350874407
convdecoder_dcse,file1000389.h5,"ConvDecoder-A (k=3, guided (different_images), 1500 iter, weighted, complex-domain)",uniform,huber,0.1192,1.177e-05,32.67397689033481,0.8838561225242096,0.9688540101051331,0.8956981443429971,0.005263002239228338,0.28157089854172307
convdecoder_dcse,file1000464.h5,"ConvDecoder-A (k=3, guided (different_images), 1500 iter, weighted, complex-domain)",uniform,huber,0.1192,1.177e-05,34.237780842763215,0.9042993429321944,0.978891134262085,0.9236693389056335,0.0039283514998388405,0.28632673168873335
convdecoder_dcse,file1000477.h5,"ConvDecoder-A (k=3, guided (different_images), 1500 iter, weighted, complex-domain)",uniform,huber,0.1192,1.177e-05,34.569885366513375,0.8985508449381663,0.9789966940879822,0.8836272406453525,0.003483473406116047,0.25608123249973813
convdecoder_dcse,file1000635.h5,"ConvDecoder-A (k=3, guided (different_images), 1500 iter, weighted, complex-domain)",uniform,huber,0.1192,1.177e-05,32.29457794824276,0.8635130967027422,0.9657192230224609,0.8532016510686395,0.004930673628878275,0.3363689082094355
convdecoder_dcse,file1000697.h5,"ConvDecoder-A (k=3, guided (different_images), 1500 iter, weighted, complex-domain)",uniform,huber,0.1192,1.177e-05,37.318114818809114,0.9230477034571495,0.985126256942749,0.939342053142201,0.0028182718872424234,0.3210208096940243
convdecoder_dcse,file1000735.h5,"ConvDecoder-A (k=3, guided (different_images), 1500 iter, weighted, complex-domain)",uniform,huber,0.1192,1.177e-05,32.757318846326505,0.8692422724081129,0.9676169753074646,0.8559597323652836,0.006092578671743489,0.39162103402709036
convdecoder_dcse,file1000759.h5,"ConvDecoder-A (k=3, guided (different_images), 1500 iter, weighted, complex-domain)",uniform,huber,0.1192,1.177e-05,32.773209854808215,0.857827547664536,0.9661816954612732,0.9047013416253596,0.00454599864440098,0.2566870598319704
convdecoder_dcse,file1000831.h5,"ConvDecoder-A (k=3, guided (different_images), 1500 iter, weighted, complex-domain)",uniform,huber,0.1192,1.177e-05,36.79718737936219,0.9204726923488307,0.9826716780662537,0.9137266926539132,0.003447924211510093,0.2648396618645572
convdecoder_dcse,file1000842.h5,"ConvDecoder-A (k=3, guided (different_images), 1500 iter, weighted, complex-domain)",uniform,huber,0.1192,1.177e-05,35.19065586113573,0.885592081145248,0.9764667749404907,0.9434560310370695,0.006383603792086037,0.29613483527545775
convdecoder_dcse,file1001064.h5,"ConvDecoder-A (k=3, guided (different_images), 1500 iter, weighted, complex-domain)",uniform,huber,0.1192,1.177e-05,33.38013190242322,0.8839680594185456,0.9747442007064819,0.991920906847558,0.005644457481208547,0.20975951588464384
