Architecture,Image,Method,Z_Source,Loss_Type,Huber_Delta,TV_Weight,PSNR,SSIM,MS-SSIM,VIF,NMSE,HFEN
convdecoder_dcse,file1000031.h5,"ConvDecoder-A (k=3, random init, 1500 iter)",uniform,huber,0.1192,1.177e-05,31.66932315598235,0.8323756785823492,0.9594088196754456,0.9291903768627514,0.009886100996954491,0.36883429775881854
convdecoder_dcse,file1000033.h5,"ConvDecoder-A (k=3, random init, 1500 iter)",uniform,huber,0.1192,1.177e-05,37.13272470721278,0.9117519857984455,0.9832068681716919,0.8956467090475266,0.0021364736040254254,0.27332510451167497
convdecoder_dcse,file1000071.h5,"ConvDecoder-A (k=3, random init, 1500 iter)",uniform,huber,0.1192,1.177e-05,27.7589756969066,0.863602891574345,0.965844452381134,1.0434313601197165,0.027532850425111558,0.4009136052308308
convdecoder_dcse,file1000073.h5,"ConvDecoder-A (k=3, random init, 1500 iter)",uniform,huber,0.1192,1.177e-05,32.74660454486263,0.8738484307695168,0.9631243348121643,0.8719216953094344,0.008328537954189518,0.29402804878410854
convdecoder_dcse,file1000107.h5,"ConvDecoder-A (k=3, random init, 1500 iter)",uniform,huber,0.1192,1.177e-05,32.5703773619471,0.8654717576411367,0.9707221388816833,0.9516528485656216,0.004758885901386689,0.28233745245131436
convdecoder_dcse,file1000108.h5,"ConvDecoder-A (k=3, random init, 1500 iter)",uniform,huber,0.1192,1.177e-05,38.40919411083349,0.9415434273081329,0.987991988658905,0.9660870261654636,0.0029526805651603036,0.3039514874487044
convdecoder_dcse,file1000243.h5,"ConvDecoder-A (k=3, random init, 1500 iter)",uniform,huber,0.1192,1.177e-05,32.03139724215884,0.8441278178350965,0.9639685750007629,0.8832929587101183,0.006184550432255292,0.2720065121780118
convdecoder_dcse,file1000264.h5,"ConvDecoder-A (k=3, random init, 1500 iter)",uniform,huber,0.1192,1.177e-05,26.34091972114096,0.8476750812764818,0.9551365971565247,1.0855481270908431,0.03255483026818581,0.5466292248709069
convdecoder_dcse,file1000277.h5,"ConvDecoder-A (k=3, random init, 1500 iter)",uniform,huber,0.1192,1.177e-05,36.170323068159874,0.9048111266873516,0.9766084551811218,0.8845666099960914,0.003952281554653,0.35633175932180616
convdecoder_dcse,file1000308.h5,"ConvDecoder-A (k=3, random init, 1500 iter)",uniform,huber,0.1192,1.177e-05,34.04822393983959,0.8599385552381947,0.9753919243812561,0.879941769818594,0.005613120363261579,0.25213512844609426
convdecoder_dcse,file1000389.h5,"ConvDecoder-A (k=3, random init, 1500 iter)",uniform,huber,0.1192,1.177e-05,34.979034724638666,0.8936627081646794,0.975269615650177,0.8904931913928569,0.0030954783535067747,0.2843307200280892
convdecoder_dcse,file1000464.h5,"ConvDecoder-A (k=3, random init, 1500 iter)",uniform,huber,0.1192,1.177e-05,35.106404956596336,0.9021849710224124,0.9774461984634399,0.9082588067457036,0.0032162361508071987,0.2833108552948812
convdecoder_dcse,file1000477.h5,"ConvDecoder-A (k=3, random init, 1500 iter)",uniform,huber,0.1192,1.177e-05,33.9444826530482,0.9038343809728822,0.9795795679092407,0.9466161712643527,0.004023025364141429,0.2618457282097918
convdecoder_dcse,file1000635.h5,"ConvDecoder-A (k=3, random init, 1500 iter)",uniform,huber,0.1192,1.177e-05,32.98347045079417,0.875169841641687,0.9716225862503052,0.8526149265817482,0.004207431038168515,0.3404975994919283
convdecoder_dcse,file1000660.h5,"ConvDecoder-A (k=3, random init, 1500 iter)",uniform,huber,0.1192,1.177e-05,29.75258211636114,0.8508136418637613,0.9578850269317627,0.9583812965847442,0.010267997917245652,0.29452255832065505
convdecoder_dcse,file1000735.h5,"ConvDecoder-A (k=3, random init, 1500 iter)",uniform,huber,0.1192,1.177e-05,30.712000723707803,0.8351446511662111,0.9362713098526001,0.7826088414795666,0.009757374140791085,0.43937402927852526
convdecoder_dcse,file1000759.h5,"ConvDecoder-A (k=3, random init, 1500 iter)",uniform,huber,0.1192,1.177e-05,33.45725251446033,0.8757915150155485,0.9721733331680298,0.8988378934262328,0.003883515437906467,0.23034028177418364
convdecoder_dcse,file1000831.h5,"ConvDecoder-A (k=3, random init, 1500 iter)",uniform,huber,0.1192,1.177e-05,37.43123510391443,0.920901256851731,0.9848507046699524,0.8858182846815534,0.0029795655111487557,0.29913621645724464
convdecoder_dcse,file1000842.h5,"ConvDecoder-A (k=3, random init, 1500 iter)",uniform,huber,0.1192,1.177e-05,35.07002402403857,0.8914089724425618,0.9799549579620361,0.9603757567977635,0.006563403552052365,0.27573868164904364
convdecoder_dcse,file1001064.h5,"ConvDecoder-A (k=3, random init, 1500 iter)",uniform,huber,0.1192,1.177e-05,32.676775633275604,0.8787578933781217,0.9685471653938293,0.9567734736203863,0.0066367862839771165,0.2356044543567947
