Architecture,Image,Method,Z_Source,Loss_Type,Huber_Delta,TV_Weight,PSNR,SSIM,MS-SSIM,VIF,NMSE,HFEN
convdecoder_dcse,file1000031.h5,"ConvDecoder-A (k=4, guided (different_images), 1350 iter, weighted, complex-domain)",uniform,huber,0.1192,1.177e-05,32.027750307528706,0.8287798616658086,0.959402859210968,0.8994460480499218,0.009102953573558588,0.37070438007218026
convdecoder_dcse,file1000033.h5,"ConvDecoder-A (k=4, guided (different_images), 1350 iter, weighted, complex-domain)",uniform,huber,0.1192,1.177e-05,37.040521064371816,0.910165244525512,0.9840896129608154,0.9003798560893278,0.0021823173015642168,0.26909910361237616
convdecoder_dcse,file1000073.h5,"ConvDecoder-A (k=4, guided (different_images), 1350 iter, weighted, complex-domain)",uniform,huber,0.1192,1.177e-05,34.19624013910283,0.885267071291868,0.9757020473480225,0.8953298750152833,0.00596492805396543,0.33137568506215714
convdecoder_dcse,file1000107.h5,"ConvDecoder-A (k=4, guided (different_images), 1350 iter, weighted, complex-domain)",uniform,huber,0.1192,1.177e-05,32.50737129112625,0.8616724764323892,0.9693970680236816,0.944825037302745,0.0048284295528775575,0.3158903939819258
convdecoder_dcse,file1000108.h5,"ConvDecoder-A (k=4, guided (different_images), 1350 iter, weighted, complex-domain)",uniform,huber,0.1192,1.177e-05,38.07215169518291,0.9378059850771308,0.985471248626709,0.9687048667423733,0.0031909552013001967,0.3076217756289762
convdecoder_dcse,file1000243.h5,"ConvDecoder-A (k=4, guided (different_images), 1350 iter, weighted, complex-domain)",uniform,huber,0.1192,1.177e-05,32.09111628709615,0.8381819936348205,0.9655683636665344,0.8604859500737735,0.006100089835225113,0.26606051317796636
convdecoder_dcse,file1000264.h5,"ConvDecoder-A (k=4, guided (different_images), 1350 iter, weighted, complex-domain)",uniform,huber,0.1192,1.177e-05,31.89858931002878,0.8550607810783494,0.9645770788192749,0.9243824124772827,0.009054166497812502,0.5844148465933302
convdecoder_dcse,file1000277.h5,"ConvDecoder-A (k=4, guided (different_images), 1350 iter, weighted, complex-domain)",uniform,huber,0.1192,1.177e-05,37.604762863824085,0.9183145060280408,0.9837692975997925,0.89705153997975,0.00284055953435029,0.26370042900439683
convdecoder_dcse,file1000308.h5,"ConvDecoder-A (k=4, guided (different_images), 1350 iter, weighted, complex-domain)",uniform,huber,0.1192,1.177e-05,34.234101892827,0.8619281189273028,0.9752618670463562,0.8943929097896278,0.005377947517303923,0.24406071529973322
convdecoder_dcse,file1000389.h5,"ConvDecoder-A (k=4, guided (different_images), 1350 iter, weighted, complex-domain)",uniform,huber,0.1192,1.177e-05,33.17782476890709,0.864991082056233,0.9601848721504211,0.7842484010655604,0.00468650157091307,0.3558794591287608
convdecoder_dcse,file1000464.h5,"ConvDecoder-A (k=4, guided (different_images), 1350 iter, weighted, complex-domain)",uniform,huber,0.1192,1.177e-05,34.3103081712018,0.9044376915251909,0.9792465567588806,0.9228925324326982,0.0038632926486979907,0.2830736325621681
convdecoder_dcse,file1000477.h5,"ConvDecoder-A (k=4, guided (different_images), 1350 iter, weighted, complex-domain)",uniform,huber,0.1192,1.177e-05,33.14184464438852,0.8991335697339073,0.9789173603057861,0.9479544073528637,0.004839679159208905,0.24219989039761008
convdecoder_dcse,file1000697.h5,"ConvDecoder-A (k=4, guided (different_images), 1350 iter, weighted, complex-domain)",uniform,huber,0.1192,1.177e-05,36.832650438531914,0.9213818402751732,0.9833332300186157,0.9414197438605743,0.0031515871897065,0.30629806778325097
convdecoder_dcse,file1000735.h5,"ConvDecoder-A (k=4, guided (different_images), 1350 iter, weighted, complex-domain)",uniform,huber,0.1192,1.177e-05,32.13179281370165,0.8578584446727658,0.964532732963562,0.8667025838837821,0.007036452318467405,0.45767394739972383
convdecoder_dcse,file1000759.h5,"ConvDecoder-A (k=4, guided (different_images), 1350 iter, weighted, complex-domain)",uniform,huber,0.1192,1.177e-05,31.70628614210722,0.8441214364403216,0.9572246670722961,0.7741796888267423,0.005811947373444176,0.3167673029710598
convdecoder_dcse,file1000831.h5,"ConvDecoder-A (k=4, guided (different_images), 1350 iter, weighted, complex-domain)",uniform,huber,0.1192,1.177e-05,36.69357880000834,0.9231050207243661,0.9842445254325867,0.9218067514303916,0.0035311695352390187,0.26802517423102734
convdecoder_dcse,file1000842.h5,"ConvDecoder-A (k=4, guided (different_images), 1350 iter, weighted, complex-domain)",uniform,huber,0.1192,1.177e-05,35.6649531021989,0.8868983605482931,0.9777007699012756,0.9271302921217719,0.005723164117730218,0.29927928006573623
convdecoder_dcse,file1001064.h5,"ConvDecoder-A (k=4, guided (different_images), 1350 iter, weighted, complex-domain)",uniform,huber,0.1192,1.177e-05,28.908819542940773,0.8665048533725576,0.9596695303916931,1.0245785500902485,0.01580350586193579,0.2645882988494491
convdecoder_dcse,file1001170.h5,"ConvDecoder-A (k=4, guided (different_images), 1350 iter, weighted, complex-domain)",uniform,huber,0.1192,1.177e-05,35.12026415915428,0.8908715352214227,0.9784286022186279,0.927074737933206,0.003925476408391654,0.20695974141265802
convdecoder_dcse,file1001184.h5,"ConvDecoder-A (k=4, guided (different_images), 1350 iter, weighted, complex-domain)",uniform,huber,0.1192,1.177e-05,35.8915843768591,0.9037634418025565,0.9772253036499023,0.9029835827046387,0.004457003105745332,0.31822459955493265
