Architecture,Image,Method,Z_Source,Loss_Type,Huber_Delta,TV_Weight,PSNR,SSIM,MS-SSIM,VIF,NMSE,HFEN
convdecoder_dcse,file1000031.h5,"ConvDecoder-A (k=5, guided (different_images), 1200 iter, weighted, complex-domain)",uniform,huber,0.1192,1.177e-05,32.19788256691554,0.8206340242372302,0.9534116387367249,0.7936659971813486,0.0087532453518168,0.3861314777628017
convdecoder_dcse,file1000033.h5,"ConvDecoder-A (k=5, guided (different_images), 1200 iter, weighted, complex-domain)",uniform,huber,0.1192,1.177e-05,36.13964488946768,0.9025516376226158,0.979416012763977,0.8822240312618237,0.002685378535803,0.3104449676949057
convdecoder_dcse,file1000073.h5,"ConvDecoder-A (k=5, guided (different_images), 1200 iter, weighted, complex-domain)",uniform,huber,0.1192,1.177e-05,35.169738711658546,0.8951230859517838,0.9791754484176636,0.914638966064904,0.0047671119675095,0.238783585135863
convdecoder_dcse,file1000107.h5,"ConvDecoder-A (k=5, guided (different_images), 1200 iter, weighted, complex-domain)",uniform,huber,0.1192,1.177e-05,31.25985806683708,0.8741623571620666,0.9727078080177308,1.0032826636901313,0.0064351284745765,0.2868713510988955
convdecoder_dcse,file1000108.h5,"ConvDecoder-A (k=5, guided (different_images), 1200 iter, weighted, complex-domain)",uniform,huber,0.1192,1.177e-05,38.5029925116322,0.9495516899459324,0.9904571175575256,0.9836564496602536,0.0028895926596667,0.2308834632470753
convdecoder_dcse,file1000243.h5,"ConvDecoder-A (k=5, guided (different_images), 1200 iter, weighted, complex-domain)",uniform,huber,0.1192,1.177e-05,30.89877079019285,0.8191806147586979,0.9547444581985474,0.8120341457858865,0.0080273237811479,0.3006070061862245
convdecoder_dcse,file1000264.h5,"ConvDecoder-A (k=5, guided (different_images), 1200 iter, weighted, complex-domain)",uniform,huber,0.1192,1.177e-05,33.3236097568897,0.8655604850196637,0.9718334078788756,0.9380175486849408,0.0065214839807475,0.4578726756048492
convdecoder_dcse,file1000277.h5,"ConvDecoder-A (k=5, guided (different_images), 1200 iter, weighted, complex-domain)",uniform,huber,0.1192,1.177e-05,36.935336942734274,0.917239772710647,0.9814907312393188,0.8912943899429479,0.003313954093388,0.2800869584284539
convdecoder_dcse,file1000308.h5,"ConvDecoder-A (k=5, guided (different_images), 1200 iter, weighted, complex-domain)",uniform,huber,0.1192,1.177e-05,33.267808611601446,0.8546266423432041,0.9709269404411316,0.8916821096021442,0.0067180910853723,0.2911239293824204
convdecoder_dcse,file1000389.h5,"ConvDecoder-A (k=5, guided (different_images), 1200 iter, weighted, complex-domain)",uniform,huber,0.1192,1.177e-05,35.64211892222764,0.8985955142011324,0.9803414344787598,0.8830284744086319,0.0026571700678102,0.2495097268570722
convdecoder_dcse,file1000464.h5,"ConvDecoder-A (k=5, guided (different_images), 1200 iter, weighted, complex-domain)",uniform,huber,0.1192,1.177e-05,31.776837933683566,0.9020897465711838,0.9787477850914,0.97360291097233,0.0069231641892736,0.294899030081378
convdecoder_dcse,file1000477.h5,"ConvDecoder-A (k=5, guided (different_images), 1200 iter, weighted, complex-domain)",uniform,huber,0.1192,1.177e-05,35.08056987184449,0.9109384116255912,0.9821785688400269,0.9178285076509792,0.0030970202770712,0.2297600546627289
convdecoder_dcse,file1000697.h5,"ConvDecoder-A (k=5, guided (different_images), 1200 iter, weighted, complex-domain)",uniform,huber,0.1192,1.177e-05,38.17325337139147,0.9273733128768296,0.9854089617729188,0.9180042988337256,0.0023145631434627,0.2638139694655717
convdecoder_dcse,file1000735.h5,"ConvDecoder-A (k=5, guided (different_images), 1200 iter, weighted, complex-domain)",uniform,huber,0.1192,1.177e-05,31.23030236664059,0.8445895383841094,0.9543772339820862,0.8386016255278784,0.0086596989406037,0.4689365629943201
convdecoder_dcse,file1000759.h5,"ConvDecoder-A (k=5, guided (different_images), 1200 iter, weighted, complex-domain)",uniform,huber,0.1192,1.177e-05,32.76237819180592,0.863175675366502,0.9663310050964355,0.8463593082412354,0.0045573508912469,0.2488563650739281
convdecoder_dcse,file1000831.h5,"ConvDecoder-A (k=5, guided (different_images), 1200 iter, weighted, complex-domain)",uniform,huber,0.1192,1.177e-05,37.600102883095026,0.9272818095477783,0.9855433106422424,0.9125897818580262,0.002865933841304503,0.24787721021384154
convdecoder_dcse,file1000842.h5,"ConvDecoder-A (k=5, guided (different_images), 1200 iter, weighted, complex-domain)",uniform,huber,0.1192,1.177e-05,35.15543933338419,0.8908997345368044,0.979423999786377,0.9627462219430573,0.006435578273234883,0.2862770943937769
convdecoder_dcse,file1001064.h5,"ConvDecoder-A (k=5, guided (different_images), 1200 iter, weighted, complex-domain)",uniform,huber,0.1192,1.177e-05,31.05529739546022,0.8799472385046242,0.9720227718353271,1.0497512854961804,0.009640635356966425,0.2191844677572104
convdecoder_dcse,file1001170.h5,"ConvDecoder-A (k=5, guided (different_images), 1200 iter, weighted, complex-domain)",uniform,huber,0.1192,1.177e-05,32.36283739355006,0.8649625831618908,0.9585427641868591,0.8027981662877626,0.007406875558423413,0.3271536400653148
convdecoder_dcse,file1001184.h5,"ConvDecoder-A (k=5, guided (different_images), 1200 iter, weighted, complex-domain)",uniform,huber,0.1192,1.177e-05,35.05091317243287,0.8984126960978462,0.9770058393478394,0.913674635067913,0.005408913760896017,0.35490468009667303
